"88","Tyrone Tracy Jr.","RB","NYG","0.7","0.2","4","2.1","13","16.7","3.2","21","6.9","14.4","BYE","5","12.5","14.3","3.5","12.9","7.3","6.6","8.5","144.3"
"89","Jameis Winston","QB","NYG","-","0.4","0.1","-","0.3","0","8.7","23.6","13.1","-","26.6","14.5","36","17.3","2.6","-","-","-","11.9","143.1"
"90","Justin Tucker","K","FA","8","13","4","5","13","13","13","7","11","3","6","7","9","-","5","12","9","5","8.4","143"
"91","Rhamondre Stevenson","RB","NE","18.6","15","0.3","4.2","15.2","-","2.5","20.5","17.4","7.7","8.9","3.3","9.4","BYE","8.5","11.3","0.1","-","9.5","142.9"
"92","Nico Collins","WR","HOU","11.7","19.5","8.6","21.1","13.8","-","-","-","-","-","5.4","15.2","11.9","BYE","13.7","6","5.9","9.8","11.9","142.6"
"93","Daniel Jones","QB","IND","6.9","18.3","19.4","10.5","22.1","12.8","6","7.7","24.4","14.2","-","-","-","BYE","-","-","-","-","14.2","142.3"
"94","Jayden Reed","WR","GB","29.1","4.6","6.9","20.1","9.7","8.8","1","5.5","11.3","BYE","7.8","2.6","16.7","0","6.1","8.1","0.6","3.1","8.4","142"
"95","Jake Elliott","K","PHI","10","7","1","2","BYE","10","4","15","5","10","8","13","6","2","10","19","11","8","8.3","141"
"96","DJ Moore","WR","CHI","5","5.3","7.2","8.2","22.5","2","BYE","3.4","3.3","2.7","6.7","19.9","15.7","4.9","7","7","6.2","13.1","8.2","140.1"
"97","Jason Myers","K","SEA","10","12","8","3","10","6","12","4","2","BYE","12","6","11","12","9","7","8","8","8.2","140"
"98","Brian Robinson Jr.","RB","SF","14.9","13.6","9.7","17.3","13.8","-","13.1","7.6","BYE","-","13.2","2.4","16.9","-","8.7","0.1","6.9","1.6","10","139.8"
"99","Houston Texans","DST","HOU","4","15","3","2","2","12","9","10","2","10","19","19","3","BYE","15","1","2","11","8.2","139"
"99","Matt Gay","K","WAS","-","4","3","9","10","8","12","9","10","8","14","6","5","BYE","8","8","9","16","8.7","139"
"101","Trey McBride","TE","ARI","3","12.7","2.5","-","5.3","9.6","5.1","12.4","9.7","7.1","BYE","13.3","9.6","7","8.7","2","18.3","12.5","8.7","138.8"
"102","Tyreek Hill","WR","MIA","19","3.6","4","4.2","6.9","BYE","1.3","7.2","8","8.7","12.1","4.8","14.3","18.1","3.6","8.9","10.5","2","8.1","137.2"
