"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"132","Dallas Goedert","TE","PHI","4.4","-","9.3","15.7","","","","","","","","","","","","","","","9.8","29.4"
"132","Nick Chubb","RB","HOU","6","13.2","4","6.2","","","","","","","","","","","","","","","7.4","29.4"
"135","Atlanta Falcons","DST","ATL","1","21","3","4","","","","","","","","","","","","","","","7.3","29"
"135","Eddy Pineiro","K","SF","-","10","12","7","","","","","","","","","","","","","","","9.7","29"
"135","Arizona Cardinals","DST","ARI","5","13","6","5","","","","","","","","","","","","","","","7.3","29"
"138","Zach Ertz","TE","WAS","8.6","12.4","3.8","4.1","","","","","","","","","","","","","","","7.2","28.9"
"139","Jake Ferguson","TE","DAL","2.3","7.8","8.2","10","","","","","","","","","","","","","","","7.1","28.3"
"140","J.J. McCarthy","QB","MIN","23.2","4.8","-","-","","","","","","","","","","","","","","","14","28"
"140","Chicago Bears","DST","CHI","11","-4","11","10","","","","","","","","","","","","","","","7","28"
"140","Parker Romo","K","ATL","-","18","0","10","","","","","","","","","","","","","","","9.3","28"
"143","Tyler Allgeier","RB","ATL","2.4","14","0.4","11.1","","","","","","","","","","","","","","","7","27.9"
"144","Tetairoa McMillan","WR","CAR","6.8","10","4.8","6.2","","","","","","","","","","","","","","","7","27.8"
"145","Jameson Williams","WR","DET","2.6","16.8","4.3","3.7","","","","","","","","","","","","","","","6.9","27.4"
"146","Elic Ayomanor","WR","TEN","1.3","11.6","9.8","4.4","","","","","","","","","","","","","","","6.8","27.1"
"147","Marquise Brown","WR","KC","9.9","3","4.2","9.8","","","","","","","","","","","","","","","6.7","26.9"
"148","RJ Harvey","RB","DEN","6.9","2.4","1.6","15.8","","","","","","","","","","","","","","","6.7","26.7"
"149","Chase Brown","RB","CIN","11.1","6.5","2","7.1","","","","","","","","","","","","","","","6.7","26.7"
"149","Troy Franklin","WR","DEN","4.4","16","0.8","5.5","","","","","","","","","","","","","","","6.7","26.7"
"151","Kyle Pitts Sr.","TE","ATL","5.9","3.7","3.9","13","","","","","","","","","","","","","","","6.6","26.5"
"152","Juwan Johnson","TE","NO","7.6","10.9","5.1","2.8","","","","","","","","","","","","","","","6.6","26.4"
"153","Keon Coleman","WR","BUF","17.2","2.6","2","4.5","","","","","","","","","","","","","","","6.6","26.3"
"154","Tyrod Taylor","QB","NYJ","-","8.3","17.7","-","","","","","","","","","","","","","","","13","26"
"154","Kansas City Chiefs","DST","KC","3","3","12","8","","","","","","","","","","","","","","","6.5","26"
"154","Blake Grupe","K","NO","7","3","7","9","","","","","","","","","","","","","","","6.5","26"
"157","Calvin Austin III","WR","PIT","13","2.2","9.4","1.3","","","","","","","","","","","","","","","6.5","25.9"
"158","Jakobi Meyers","WR","LV","9.7","6.8","6.3","3","","","","","","","","","","","","","","","6.5","25.8"
"159","Tory Horton","WR","SEA","0","9.2","15.2","1","","","","","","","","","","","","","","","6.4","25.4"
"160","James Conner","RB","ARI","10.4","11.2","3.7","-","","","","","","","","","","","","","","","8.4","25.3"
"161","Wil Lutz","K","DEN","8","4","9","4","","","","","","","","","","","","","","","6.3","25"
"161","Mark Andrews","TE","BAL","0.5","0.4","21.1","3","","","","","","","","","","","","","","","6.3","25"
"161","Andy Borregales","K","NE","8","9","2","6","","","","","","","","","","","","","","","6.3","25"
"161","Ryan Fitzgerald","K","CAR","5","4","15","1","","","","","","","","","","","","","","","6.3","25"
"165","Bhayshul Tuten","RB","JAC","1.1","13.4","8.1","2.2","","","","","","","","","","","","","","","6.2","24.8"
"166","Rhamondre Stevenson","RB","NE","2.7","16.2","1.6","4.1","","","","","","","","","","","","","","","6.2","24.6"
"167","Jake Tonges","TE","SF","7.5","3.1","2.1","11.8","","","","","","","","","","","","","","","6.1","24.5"
"167","Brock Bowers","TE","LV","10.3","3.8","5.8","4.6","","","","","","","","","","","","","","","6.1","24.5"
"169","TreVeyon Henderson","RB","NE","5.1","4","4.7","10.6","","","","","","","","","","","","","","","6.1","24.4"
"170","KaVontae Turpin","WR","DAL","2.7","11.3","6.8","3.4","","","","","","","","","","","","","","","6.1","24.2"
"170","Travis Kelce","TE","KC","10.7","6.1","2.6","4.8","","","","","","","","","","","","","","","6.1","24.2"
"172","Los Angeles Chargers","DST","LAC","2","13","3","6","","","","","","","","","","","","","","","6","24"
"172","Graham Gano","K","NYG","8","13","3","-","","","","","","","","","","","","","","","8","24"
"172","Washington Commanders","DST","WAS","9","2","11","2","","","","","","","","","","","","","","","6","24"
"172","Carolina Panthers","DST","CAR","2","3","22","-3","","","","","","","","","","","","","","","6","24"
"172","Riley Patterson","K","MIA","0","11","3","10","","","","","","","","","","","","","","","6","24"
"172","Tampa Bay Buccaneers","DST","TB","2","4","14","4","","","","","","","","","","","","","","","6","24"
"172","Brian Thomas Jr.","WR","JAC","8","4.9","5.5","5.6","","","","","","","","","","","","","","","6","24"
"179","Rashid Shaheed","WR","NO","3.3","11.2","4.2","5.2","","","","","","","","","","","","","","","6","23.9"
"180","Luke McCaffrey","WR","WAS","0","3.9","11.6","8.1","","","","","","","","","","","","","","","5.9","23.6"
"181","Chris Olave","WR","NO","5.4","5.4","5.7","7","","","","","","","","","","","","","","","5.9","23.5"
"182","DeAndre Hopkins","WR","BAL","9.5","12.4","1.3","0","","","","","","","","","","","","","","","5.8","23.2"
"183","Andre Szmyt","K","CLE","5","5","9","4","","","","","","","","","","","","","","","5.8","23"
"184","DJ Moore","WR","CHI","5.6","4.6","8.8","3.8","","","","","","","","","","","","","","","5.7","22.8"
"185","Cedric Tillman","WR","CLE","11.2","8.2","2.6","0.6","","","","","","","","","","","","","","","5.7","22.6"
"186","Kayshon Boutte","WR","NE","10.3","7.6","2.8","1.8","","","","","","","","","","","","","","","5.6","22.5"
"186","Marvin Mims Jr.","WR","DEN","-0.8","8.4","0.4","14.5","","","","","","","","","","","","","","","5.6","22.5"
"188","Trey Benson","RB","ARI","7.5","4.4","5.1","5.4","","","","","","","","","","","","","","","5.6","22.4"
"189","CeeDee Lamb","WR","DAL","11","11.2","0","-","","","","","","","","","","","","","","","7.4","22.2"
"190","Zach Charbonnet","RB","SEA","10.7","1","-","10.4","","","","","","","","","","","","","","","7.4","22.1"
"191","DeVonta Smith","WR","PHI","1.6","5.3","12","2.9","","","","","","","","","","","","","","","5.5","21.8"
"192","Isiah Pacheco","RB","KC","2.8","2.9","4.8","10.8","","","","","","","","","","","","","","","5.3","21.3"
"193","Stefon Diggs","WR","NE","5.7","3.2","2.3","10.1","","","","","","","","","","","","","","","5.3","21.3"
